AnonymousID,AbsorptiveCapacity01_JointVenture,AbsorptiveCapacity02_TeachingHospital,AbsorptiveCapacity,Monitoring,EHR,Number_of_Hospital_Beds_Organizational_size,OperationalPerfromance_NormalizedOperatingMargin
ID001,0,0,0,1,1,202,0.702651904
ID002,0,0,0,0,0,86,0.462717312
ID003,0,0,0,1,0,195,0.509759299
ID004,0,0,0,1,0,92,0.499145021
ID005,0,0,0,1,0,245,0.620892838
ID006,0,0,0,0,1,16,0.423293759
ID007,0,0,0,0,0,14,0.302592243
ID008,0,0,0,1,1,54,0.617429275
ID009,1,0,0.5,1,1,111,0.528345852
ID010,1,0,0.5,0,1,40,0.758264751
ID011,0,0,0,1,0,80,0.539582936
ID012,1,0,0.5,1,1,131,0.521553735
ID013,0,0,0,1,1,249,0.644455525
ID014,1,0,0.5,0,0,47,0.379052647
ID015,0,0,0,1,1,205,0.546801837
ID016,0,0,0,1,1,68,0.51365561
ID017,0,0,0,0,1,72,0.58838618
ID018,1,0,0.5,1,1,117,0.581209599
ID019,0,0,0,0,0,140,0.498173186
ID020,0,0,0,1,0,217,0.52157813
ID021,0,0,0,1,0,43,0.525593334
ID022,0,0,0,1,1,326,0.637932252
ID023,1,0,0.5,1,1,183,0.579231024
ID024,0,0,0,1,1,35,0.514839532
ID025,1,0,0.5,1,1,177,0.55505566
ID026,0,0,0,1,0,96,0.570926451
ID027,1,0,0.5,1,1,124,0.490381506
ID028,1,0,0.5,1,1,112,0.616208497
ID029,1,0,0.5,1,1,203,0.597424247
ID030,0,0,0,1,1,177,0.575292203
ID031,0,0,0,1,0,67,0.529925768
ID032,0,0,0,1,1,345,0.774313767
ID033,0,0,0,1,0,144,0.45493683
ID034,0,1,0.5,1,1,681,0.502131793
ID035,0,0,0,0,0,376,0.492366711
ID036,0,0,0,1,1,139,0.475407052
ID037,0,0,0,1,1,339,0.569927324
ID038,0,0,0,0,1,25,0.423186027
ID039,0,0,0,0,1,25,0.223280361
ID040,0,0,0,0,1,41,0.563131172
ID041,0,0,0,0,1,270,0.629480647
ID042,0,0,0,1,0,34,0.567974914
ID043,0,0,0,1,1,111,0.505104429
ID044,0,0,0,1,0,103,0.431943044
ID045,1,0,0.5,1,1,57,0.536820735
ID046,0,0,0,1,1,212,0.575157786
ID047,1,0,0.5,1,1,164,0.563261616
ID048,0,0,0,0,0,509,0.665342747
ID049,0,0,0,0,1,19,0.346506029
ID050,1,0,0.5,1,1,185,0.549669684
ID051,0,0,0,1,0,16,0.626531841
ID052,0,0,0,0,0,40,0.503197747
ID053,0,0,0,1,0,48,0.56215825
ID054,0,0,0,0,0,8,0.619116598
ID055,1,0,0.5,1,1,615,0.737990108
ID056,0,0,0,1,0,72,0.489358919
ID057,0,0,0,1,1,83,0.529820476
ID058,0,0,0,0,0,46,0.491579432
ID059,0,0,0,1,0,90,0.620249201
ID060,0,0,0,1,0,80,0.573634225
ID061,0,0,0,0,1,50,0.507914564
ID062,0,0,0,0,0,72,0.387131177
ID063,0,0,0,1,0,72,0.569662332
ID064,1,0,0.5,1,1,371,0.635561452
ID065,0,0,0,1,0,24,0.59207762
ID066,0,0,0,1,0,50,0.807325056
ID067,0,0,0,1,0,45,0.618372792
ID068,0,0,0,0,1,74,0.587706133
ID069,0,0,0,0,0,89,0.536890896
ID070,0,0,0,1,0,46,0.479377084
ID071,0,0,0,0,0,40,0.559752053
ID072,0,0,0,0,1,60,0.62457766
ID073,0,0,0,0,1,60,0.516694782
ID074,0,0,0,0,0,30,0.689099776
ID075,1,0,0.5,1,1,193,0.593734329
ID076,1,0,0.5,0,0,32,0.626049778
ID077,0,0,0,1,0,49,0.412084755
ID078,0,0,0,1,1,416,0.558861802
ID079,0,0,0,1,0,54,0.429436601
ID080,0,0,0,1,0,42,0.53967838
ID081,0,0,0,1,0,66,0.670132099
ID082,0,0,0,0,0,44,0.563859163
ID083,0,0,0,1,1,24,0.608305051
ID084,1,0,0.5,1,1,92,0.67197272
